lead_id,scraped_at,search_query,business_name,category,address,city,state,zip_code,country,phone,website,google_maps_url,place_id,rating,review_count,price_level,emails,additional_phones,business_hours,facebook,twitter,linkedin,instagram,youtube,tiktok,owner_name,owner_title,owner_email,owner_phone,owner_linkedin,team_contacts,additional_contact_methods,pages_scraped,search_enriched,enrichment_status
5c5c2cd73aff,2026-01-18T13:54:20.861635,Dental Offices,Vancouver Airport Dental Centre,Dental clinic,"3880 Grant McConachie Wy, Richmond, BC V7B 1Y7, Canada",Richmond,BC,V7B 1Y7,CA,+1 604-276-2121,,https://www.google.com/maps/search/?api=1&query=Vancouver%20Airport%20Dental%20Centre&query_place_id=ChIJNwpi8zMLhlQR_EOX5tbhQfo,ChIJNwpi8zMLhlQR_EOX5tbhQfo,4.3,12,,,,,,,,,,,,,,,,,,0,no,error: No website available
eb5c51d767e1,2026-01-18T13:54:20.861699,Dental Offices,Dental Office,Dentist,"Delta, BC V4K 1W3, Canada",Delta,BC,,CA,,,https://www.google.com/maps/search/?api=1&query=Dental%20Office&query_place_id=ChIJ36ANgsHghVQRL_kZIH3tUk0,ChIJ36ANgsHghVQRL_kZIH3tUk0,5,1,,,,,,,,,,,,,,,,,,0,no,error: No website available
904eaa39d246,2026-01-18T13:54:20.861732,Dental Offices,Spread A Smile BC Dental,Dental clinic,"32330 South Fraser Way, Abbotsford, BC V2T 1X1, Canada",Abbotsford,BC,32330,CA,+1 778-987-4900,https://spreadasmilebc.ca/,https://www.google.com/maps/search/?api=1&query=Spread%20A%20Smile%20BC%20Dental&query_place_id=ChIJ2Rso24I1hFQRWKRCynYSIQA,ChIJ2Rso24I1hFQRWKRCynYSIQA,5,87,,"foundation@spreadasmilebc.ca, info@spreadasmilebc.ca",,,,,,,,,,,,,,,,4,no,success
d16ab77f2050,2026-01-18T13:54:20.861760,Dental Offices,Downtown Dental Victoria,Dental clinic,"1312 Blanshard St #400, Victoria, BC V8W 2J1, Canada",Victoria,BC,V8W 2J1,CA,+1 250-382-1541,https://www.downtowndentalvictoria.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/search/?api=1&query=Downtown%20Dental%20Victoria&query_place_id=ChIJy7MTHAx1j1QRYsPN2WdlBds,ChIJy7MTHAx1j1QRYsPN2WdlBds,4.9,407,,reception@downtowndentalvictoria.ca,,,https://www.facebook.com/Downtown-Dental-Victoria-111612646878123/,https://twitter.com/dental_victoria,,https://www.instagram.com/downtowndentalvictoria/,,,,,,,,,,5,no,success
f440bab04a04,2026-01-18T13:54:20.861785,Dental Offices,Nature's Design Dental,Dentist,"5000 Canoe Pass Wy #213, Delta, BC V4M 4G8, Canada",Delta,BC,V4M 4G8,CA,+1 604-943-2291,https://www.naturesdesigndental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/search/?api=1&query=Nature's%20Design%20Dental&query_place_id=ChIJR7eK7GHmhVQR2Qu18-3MlZg,ChIJR7eK7GHmhVQR2Qu18-3MlZg,4.8,287,,,,,,,,,,,,,,,,,,3,no,partial
2cb6f00a694a,2026-01-18T13:54:20.861806,Dental Offices,Granville Station Dental,Dentist,"678 Dunsmuir St #70, Vancouver, BC V6B 1N3, Canada",Vancouver,BC,V6B 1N3,CA,+1 604-408-9200,https://www.granvillestationdental.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,https://www.google.com/maps/search/?api=1&query=Granville%20Station%20Dental&query_place_id=ChIJp--ubH9xhlQRYVdm50y25rw,ChIJp--ubH9xhlQRYVdm50y25rw,4.8,399,,,,,,,,,,,,,,,,,,1,no,partial
09be6a5f7b0e,2026-01-18T13:54:20.861829,Dental Offices,Kingsgate Dental,Dentist,"370 E Broadway Unit 112, Vancouver, BC V5T 4G5, Canada",Vancouver,BC,V5T 4G5,CA,+1 604-879-9999,http://www.vancouverdentist-bc.ca/,https://www.google.com/maps/search/?api=1&query=Kingsgate%20Dental&query_place_id=ChIJgVbiS19xhlQRq1JgiHYrYh0,ChIJgVbiS19xhlQRq1JgiHYrYh0,4.9,1494,,kingsgatedentist@gmail.com,,,http://www.facebook.com/pages/Vancouver-BC/Kingsgate-Dental/114280405298062,http://www.twitter.com/kingsgatedental,,,,,,,,,,,,4,no,success
93d0a9572cd5,2026-01-18T13:54:20.861850,Dental Offices,Richmond Centre Dental Clinic,Dentist,"6060 Minoru Blvd Suite 1946, Richmond, BC V6Y 2V7, Canada",Richmond,BC,V6Y 2V7,CA,+1 604-276-2442,https://www.rcdentalclinic.ca/,https://www.google.com/maps/search/?api=1&query=Richmond%20Centre%20Dental%20Clinic&query_place_id=ChIJe94Wm8wKhlQRcrYEAe_tuSM,ChIJe94Wm8wKhlQRcrYEAe_tuSM,4.6,286,,rcdc1@shaw.ca,,,,,,,,,,,,,,,,4,no,success
8841d7dd5848,2026-01-18T13:54:20.861871,Dental Offices,Brewery District Dental,Dentist,"233 Nelson's Crescent #508, New Westminster, BC V3L 0E4, Canada",New Westminster,BC,V3L 0E4,CA,+1 604-522-2425,https://www.brewerydistrictdental.com/,https://www.google.com/maps/search/?api=1&query=Brewery%20District%20Dental&query_place_id=ChIJFSCYGf93hlQRCFTYlETxlQM,ChIJFSCYGf93hlQRCFTYlETxlQM,4.9,38,,,,,,,,,,,,,,,,,,0,no,partial
da3d0282f78d,2026-01-18T13:54:20.861891,Dental Offices,City Square Dental Center,Dentist,"555 W 12th Ave #5, Vancouver, BC V5Z 3X7, Canada",Vancouver,BC,V5Z 3X7,CA,+1 604-256-9305,https://www.vancouverdentist.ca/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL,https://www.google.com/maps/search/?api=1&query=City%20Square%20Dental%20Center&query_place_id=ChIJBwLQ4edzhlQRkFNaW0mZzDE,ChIJBwLQ4edzhlQRkFNaW0mZzDE,4.8,1146,,,,,https://www.facebook.com/CitySquareDentalCenterVancouver/,,,https://www.instagram.com/citysquaredentalcenter/ ,https://www.youtube.com/embed/mnr3Ua5ZLJI?si=I1HFT8eDcyoC30fF,,,,,,,,,4,no,partial
9bcf4229c4c6,2026-01-18T13:54:20.861910,Dental Offices,Downtown Dental,Dental clinic,"1328 Alberni St, Vancouver, BC V6E 4N9, Canada",Vancouver,BC,V6E 4N9,CA,+1 604-669-1111,https://www.vancouverdentist.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/search/?api=1&query=Downtown%20Dental&query_place_id=ChIJwbRaGIdxhlQRYDxUy-pAzRg,ChIJwbRaGIdxhlQRYDxUy-pAzRg,4.9,990,,"__info@vancouverdentist.com, info@vancouverdentist.com",,,https://www.facebook.com/DowntownDentalVan,,,https://www.instagram.com/downtowndentalvan/,,,,,,,,,,5,no,success
bd8df5e8c7d4,2026-01-18T13:54:20.861931,Dental Offices,Dentists At Metrotown,Dental clinic,"4800 Kingsway #396, Burnaby, BC V5H 4J2, Canada",Burnaby,BC,V5H 4J2,CA,+1 604-558-3636,https://dentistsatmetrotown.com/,https://www.google.com/maps/search/?api=1&query=Dentists%20At%20Metrotown&query_place_id=ChIJ_6fvhFl2hlQRaqqQvDirO0o,ChIJ_6fvhFl2hlQRaqqQvDirO0o,4.8,2092,,frontdesk@dentistsatmetrotown.com,,,https://www.facebook.com/DentistsAtMetrotown/,,,https://www.instagram.com/dentistsatmetrotown/,,,,,,,,,,5,no,success
843d55f81c07,2026-01-18T13:54:20.861950,Dental Offices,Richmond Central Dental,Dentist,"6060 Number 3 Rd #110, Richmond, BC V6Y 2B3, Canada",Richmond,BC,V6Y 2B3,CA,+1 604-821-0886,https://richmonddental.ca/,https://www.google.com/maps/search/?api=1&query=Richmond%20Central%20Dental&query_place_id=ChIJY3rW8MoKhlQROOD5KdHDzyU,ChIJY3rW8MoKhlQROOD5KdHDzyU,4.5,208,,,,,,,,,,,,,,,,,,1,no,partial
fd712e334a34,2026-01-18T13:54:20.861974,Dental Offices,Lifetime Dental,Dentist,"Sevenoaks Shopping Centre, 32900 South Fraser Way #206, Abbotsford, BC V2S 5A1, Canada",Abbotsford,BC,32900,CA,+1 604-853-8301,http://sevenoaksdental.ca/,https://www.google.com/maps/search/?api=1&query=Lifetime%20Dental&query_place_id=ChIJiajwT1w1hFQRTfzG2fNHC4c,ChIJiajwT1w1hFQRTfzG2fNHC4c,4.6,764,,reception@lifetimedental.ca,,,https://www.facebook.com/SevenoaksDentalGroup/,https://twitter.com/SevenoaksDental,,https://www.instagram.com/lifetimedentalatsevenoaks/,,,,,,,,,,5,no,success
ac8cde7c61c7,2026-01-18T13:54:20.861998,Dental Offices,Atlantis Dental Yaletown,Dental clinic,"1278 Pacific Blvd, Vancouver, BC V6Z 2V1, Canada",Vancouver,BC,V6Z 2V1,CA,+1 604-899-0775,https://www.atlantisdental.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/search/?api=1&query=Atlantis%20Dental%20Yaletown&query_place_id=ChIJNX1nLNdzhlQRtVkDvQNs1gk,ChIJNX1nLNdzhlQRtVkDvQNs1gk,4.9,993,,yaletown@atlantisdental.ca,,,https://www.facebook.com/AtlantisDentalCentre/,https://twitter.com/AtlantisDental_,,https://www.instagram.com/atlantisdentalclinics_,,,,,,,,,,5,no,success
62e6b1a3ab4a,2026-01-18T13:54:20.862019,Dental Offices,Gladwin Crossing Dental,Dentist,"2777 Gladwin Rd unit 101, Abbotsford, BC V2T 4V1, Canada",Abbotsford,BC,V2T 4V1,CA,+1 604-743-2113,https://gladwincrossingdental.ca/,https://www.google.com/maps/search/?api=1&query=Gladwin%20Crossing%20Dental&query_place_id=ChIJkwjPYL41hFQR6JqshSopW4Q,ChIJkwjPYL41hFQR6JqshSopW4Q,4.9,562,,"info@gladwincrossingdental.ca, __info@gladwincrossingdental.ca",,,https://www.facebook.com/gladwincrossingdental/,,,https://www.instagram.com/gladwincrossingdental/,,,,,,,,,,4,no,success
